"position","row_id","entrez_id","symbol","group","source"
299,"gene8911","8911","CACNA1I","CUR_16","Reactome (reactome.db 1.95.0)"
300,"gene57823","57823","SLAMF7","CUR_15","Reactome (reactome.db 1.95.0)"
301,"gene9976","9976","CLEC2B","CUR_15","Reactome (reactome.db 1.95.0)"
302,"gene6678","6678","SPARC","CUR_10","Reactome (reactome.db 1.95.0)"
303,"gene6223","6223","RPS19","CUR_17","Reactome (reactome.db 1.95.0)"
304,"gene1191","1191","CLU","CUR_10","Reactome (reactome.db 1.95.0)"
305,"gene23365","23365","ARHGEF12","CUR_11","Reactome (reactome.db 1.95.0)"
306,"gene6726","6726","SRP9","CUR_05","Reactome (reactome.db 1.95.0)"
307,"gene3122","3122","HLA-DRA","CUR_13","Reactome (reactome.db 1.95.0)"
308,"gene926","926","CD8B","CUR_15","Reactome (reactome.db 1.95.0)"
309,"gene6633","6633","SNRPD2","CUR_06","Reactome (reactome.db 1.95.0)"
310,"gene81027","81027","TUBB1","CUR_10","Reactome (reactome.db 1.95.0)"
311,"gene6773","6773","STAT2","CUR_06","Reactome (reactome.db 1.95.0)"
312,"gene6281","6281","S100A10","CUR_10","Reactome (reactome.db 1.95.0)"
313,"gene5997","5997","RGS2","CUR_02","Reactome (reactome.db 1.95.0)"
314,"gene7226","7226","TRPM2","CUR_04","Reactome (reactome.db 1.95.0)"
315,"gene129685","129685","TAF8","CUR_01","Reactome (reactome.db 1.95.0)"
316,"gene8460","8460","TPST1","CUR_08","Reactome (reactome.db 1.95.0)"
317,"gene4082","4082","MARCKS","CUR_05","Reactome (reactome.db 1.95.0)"
318,"gene80097","80097","MZT2B","CUR_01","Reactome (reactome.db 1.95.0)"
319,"gene22934","22934","RPIA","CUR_05","Reactome (reactome.db 1.95.0)"
320,"gene4354","4354","MPP1","CUR_09","Reactome (reactome.db 1.95.0)"
321,"gene388","388","RHOB","CUR_11","Reactome (reactome.db 1.95.0)"
322,"gene9246","9246","UBE2L6","CUR_06","Reactome (reactome.db 1.95.0)"
323,"gene7852","7852","CXCR4","CUR_02","Reactome (reactome.db 1.95.0)"
324,"gene80310","80310","PDGFD","CUR_12","Reactome (reactome.db 1.95.0)"
325,"gene10622","10622","POLR3G","CUR_04","Reactome (reactome.db 1.95.0)"
326,"gene10135","10135","NAMPT","CUR_01","Reactome (reactome.db 1.95.0)"
327,"gene4778","4778","NFE2","CUR_01","Reactome (reactome.db 1.95.0)"
328,"gene160364","160364","CLEC12A","CUR_04","Reactome (reactome.db 1.95.0)"
329,"gene1912","1912","PHC2","CUR_01","Reactome (reactome.db 1.95.0)"
330,"gene10663","10663","CXCR6","CUR_02","Reactome (reactome.db 1.95.0)"
331,"gene9437","9437","NCR1","CUR_15","Reactome (reactome.db 1.95.0)"
332,"gene84649","84649","DGAT2","CUR_03","Reactome (reactome.db 1.95.0)"
