"position","row_id","entrez_id","symbol","group","source"
485,"gene302","302","ANXA2","FM_11","scGPT"
486,"gene4353","4353","MPO","FM_12","scGPT"
487,"gene8724","8724","SNX3","FM_10","scGPT"
488,"gene25801","25801","GCA","FM_15","scGPT"
489,"gene968","968","CD68","FM_15","scGPT"
490,"gene122416","122416","ANKRD9","FM_17","scGPT"
491,"gene2153","2153","F5","FM_16","scGPT"
492,"gene9531","9531","BAG3","FM_18","scGPT"
493,"gene23191","23191","CYFIP1","FM_03","scGPT"
494,"gene8787","8787","RGS9","FM_02","scGPT"
495,"gene6280","6280","S100A9","FM_12","scGPT"
496,"gene54790","54790","TET2","FM_01","scGPT"
497,"gene1116","1116","CHI3L1","FM_12","scGPT"
498,"gene6194","6194","RPS6","FM_05","scGPT"
499,"gene6154","6154","RPL26","FM_05","scGPT"
500,"gene22914","22914","KLRK1","FM_04","scGPT"
501,"gene1593","1593","CYP27A1","FM_15","scGPT"
502,"gene91319","91319","DERL3","FM_14","scGPT"
